id,uuid,name,status,address,uap_lap,vendor,appearance,company,company_type,lmp_version,manufacturer,firmware,ibeacon_range,created_at,updated_at,last_seen
1,8881cfc7-4179-4597-af8d-143a113e0f70,,offline,F8:04:2E:95:D7:79,2E:95:D7:79,"SAMSUNG ELECTRO-MECHANICS(THAILAND)",,"Samsung Electronics Co. Ltd. (117)",,,,,,2016-10-12T08:10:58-04:00,2016-10-12T08:14:56-04:00,1476274314
2,dca87dee-9a2c-4231-97de-9d1b9f02c143,,offline,00:0D:4B:C0:48:62,4B:C0:48:62,"Roku, Inc.",,,,,,,,2016-10-12T08:10:59-04:00,2016-10-12T08:25:58-04:00,1476274256
3,5dd1b947-03a2-4533-a21a-3b63951366bb,KDC-BT5**U,online,00:08:E0:4C:2F:85,E0:4C:2F:85,"ATO Technology Ltd.",,,,"Bluetooth 2.1 (0x04) - Subversion 4841 (0x12e9)","Cambridge Silicon Radio (10)",,,2016-10-12T08:10:59-04:00,2016-10-12T08:41:20-04:00,1476276023
4,0a7abcb4-e06f-485a-8351-59b81370efbb,,offline,F8:04:2E:FD:15:51,2E:FD:15:51,"SAMSUNG ELECTRO-MECHANICS(THAILAND)",,"Samsung Electronics Co. Ltd. (117)",,,,,,2016-10-12T08:11:36-04:00,2016-10-12T08:14:34-04:00,1476274293
5,3f0ab239-a3fe-4bd8-98b5-0bd2eace2fae,"Roku Player",offline,CC:6D:A0:7E:25:10,A0:7E:25:10,"Roku, Inc.",,,,,,,,2016-10-12T08:11:56-04:00,2016-10-12T08:26:56-04:00,1476274315
6,aef538fb-818b-4772-a623-451b9e92d1fa,,offline,10:40:F3:E3:A0:75,F3:E3:A0:75,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:12:13-04:00,2016-10-12T08:15:12-04:00,1476274330
7,008d0dfc-ec2e-4c2c-bd40-704121c8874c,"Roku Player",offline,00:0D:4B:BE:D9:D6,4B:BE:D9:D6,"Roku, Inc.",,,,,,,,2016-10-12T08:12:15-04:00,2016-10-12T08:27:14-04:00,1476274333
8,6f406fcb-0f02-4bd2-8b51-7f1cb509ed88,,offline,32:47:68:CB:CA:A6,68:CB:CA:A6,"N/A - Random Address",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:12:16-04:00,2016-10-12T08:15:16-04:00,1476274335
9,01d56c41-fc24-477c-88d6-ab277b46d054,,offline,2C:B4:3A:2C:52:D9,3A:2C:52:D9,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:12:19-04:00,2016-10-12T08:15:19-04:00,1476274337
10,8eda9f1a-9248-4b4a-b0b0-ac5113946be4,,offline,68:64:4B:33:4F:56,4B:33:4F:56,"Apple, Inc.",,"Apple, Inc. (76)","Apple TV (9)",,,,,2016-10-12T08:12:26-04:00,2016-10-12T08:15:20-04:00,1476274339
